id,index,c_rmsd,i_rmsd,l_rmsd,fnat,DockQ,ranking_energy,ranking_num_clashes
2HRK,0,5.568047046661377,4.270996570587158,12.372154235839844,0.142857,0.19110462709554574,-24.90239715576172,0
2HRK,1,13.575453758239746,11.224924087524414,24.21934700012207,0.0,0.042402882196315966,-19.7629337310791,0
2HRK,2,13.659533500671387,11.603799819946289,24.047298431396484,0.0,0.042500043570708725,-23.974754333496094,0
2HRK,3,5.229597091674805,4.0550127029418945,11.350462913513184,0.285714,0.2551278133239466,-22.374834060668945,1
2HRK,4,5.391865253448486,4.4924116134643555,11.589540481567383,0.0,0.1500229646610237,-20.84442138671875,0
2HRK,5,5.709715843200684,4.4245076179504395,12.41620922088623,0.285714,0.23596965646061477,-22.374393463134766,1
2HRK,6,13.666032791137695,11.250450134277344,23.818614959716797,0.0,0.04347708876420677,-20.4398250579834,0
2HRK,7,10.886595726013184,7.909870147705078,32.17391586303711,0.0,0.03331863261312184,-16.863996505737305,5
2HRK,8,11.608704566955566,9.508776664733887,21.28179168701172,0.0,0.05395214367964646,-22.585351943969727,0
2HRK,9,14.491646766662598,12.05678939819336,25.034015655517578,0.0,0.03953709512834042,-19.083681106567383,1
2HRK,10,12.817505836486816,10.651022911071777,23.859647750854492,0.0,0.04402290159929262,-21.745445251464844,0
2HRK,11,14.325014114379883,11.9691801071167,24.6462459564209,0.0,0.040587193189526506,-21.53822135925293,0
2HRK,12,14.130508422851562,11.771886825561523,24.570045471191406,0.0,0.04095521736504029,-20.821361541748047,0
2HRK,13,14.372624397277832,11.822571754455566,24.967472076416016,0.0,0.03990198813331645,-19.585020065307617,0
2HRK,14,7.909587383270264,6.555771827697754,16.657428741455078,0.0,0.08544722386382597,-19.666854858398438,0
1LFD,0,8.292380332946777,8.785194396972656,24.949731826782227,0.0,0.04410760941162976,-14.043184280395508,3
1LFD,1,3.772775650024414,3.9825446605682373,11.61769962310791,0.0,0.15763262565732494,-17.29814338684082,0
1LFD,2,7.6971354484558105,8.651897430419922,22.03907012939453,0.0,0.052889322917283293,-13.721242904663086,3
1LFD,3,11.824539184570312,11.53573226928711,25.117582321166992,0.0,0.03979326809672531,-19.153478622436523,0
1LFD,4,8.963033676147461,9.055815696716309,16.90507698059082,0.0,0.07616719144809701,-14.860934257507324,0
1LFD,5,8.449729919433594,8.181666374206543,18.379650115966797,0.0,0.06957079150533957,-17.22351837158203,0
1LFD,6,9.784939765930176,9.843798637390137,22.391788482666016,0.0,0.049547465521864655,-16.78976058959961,0
1LFD,7,11.232623100280762,11.06534194946289,23.250333786010742,0.0,0.04531351221743474,-19.018896102905273,0
1LFD,8,4.588860988616943,5.330963611602783,13.230666160583496,0.0,0.12183940787203436,-16.427392959594727,0
1LFD,9,5.448464393615723,3.985954523086548,15.209587097167969,0.133333,0.16512505672008762,-17.84592056274414,0
1LFD,10,5.7709784507751465,6.576595306396484,14.72440242767334,0.0,0.09979953936657815,-16.22321319580078,0
1LFD,11,7.889558792114258,8.122231483459473,17.45656394958496,0.0,0.0748783741536926,-15.778267860412598,2
1LFD,12,15.39106273651123,9.723846435546875,31.33452796936035,0.0,0.030594916006065898,-15.612805366516113,56
1LFD,13,10.2078275680542,10.159567832946777,19.195573806762695,0.0,0.06175666336449992,-15.678939819335938,0
1LFD,14,4.017967224121094,4.246922492980957,11.414965629577637,0.0,0.1558705086598536,-15.983028411865234,1
2YVJ,0,5.657128810882568,2.8862409591674805,16.788284301757812,0.5,0.30556602005131767,-17.043445587158203,1
2YVJ,1,10.002603530883789,6.980159282684326,27.042261123657227,0.0,0.044685551207072904,-18.855520248413086,0
2YVJ,2,9.447378158569336,5.900326728820801,26.48003387451172,0.0,0.05137320577367321,-17.4681339263916,1
2YVJ,3,8.961673736572266,5.546191692352295,26.175201416015625,0.0,0.054517968732543436,-17.70396614074707,0
2YVJ,4,7.197421073913574,6.991366386413574,16.330978393554688,0.0,0.08572130214533667,-18.49545669555664,0
2YVJ,5,17.878870010375977,11.665934562683105,45.25994110107422,0.0,0.016777515046325454,-13.983345031738281,40
2YVJ,6,51.91277313232422,72.08778381347656,145.0714874267578,0.0,0.0012846793940414275,0.0,0
2YVJ,7,23.79250717163086,13.740249633789062,59.26846694946289,0.0,0.010643591216828544,-23.043745040893555,1
2YVJ,8,8.716963768005371,5.720818519592285,23.22867202758789,0.0,0.060805545490622115,-18.769960403442383,0
2YVJ,9,9.40414047241211,6.549596786499023,26.491437911987305,0.0,0.047725876510701294,-18.45360565185547,0
2YVJ,10,7.543613433837891,5.698408603668213,19.783313751220703,0.0,0.07354543805487684,-16.906389236450195,1
2YVJ,11,21.537593841552734,14.488088607788086,55.85272979736328,0.0,0.011080586053731974,-22.988964080810547,2
2YVJ,12,8.098313331604004,6.593696594238281,20.729305267333984,0.0,0.06438090237852372,-18.542945861816406,0
2YVJ,13,23.176097869873047,13.212239265441895,57.27783966064453,0.0,0.011424383726478865,-20.981569290161133,9
2YVJ,14,8.426307678222656,5.719505786895752,22.874650955200195,0.0,0.061893632799283615,-17.44313621520996,1
1BUH,0,10.496750831604004,15.286916732788086,28.738380432128906,0.0,0.029993318258764345,-18.781965255737305,0
1BUH,1,9.194355010986328,13.129582405090332,25.630300521850586,0.0,0.03732341777607586,-19.650142669677734,0
1BUH,2,10.578869819641113,14.022516250610352,29.29645347595215,0.0,0.029652346998655224,-17.157690048217773,0
1BUH,3,11.654261589050293,16.788660049438477,31.12518882751465,0.0,0.02577402872708867,-19.73322296142578,0
1BUH,4,10.558932304382324,12.854148864746094,27.357072830200195,0.0,0.03382448831167307,-21.041587829589844,0
1BUH,5,10.791829109191895,15.357416152954102,29.36568832397461,0.0,0.028918708765778938,-20.66352081298828,0
1BUH,6,11.045059204101562,12.700216293334961,29.659748077392578,0.0,0.02988481028127135,-19.621524810791016,0
1BUH,7,9.198148727416992,12.356139183044434,26.47933006286621,0.0,0.03598043670333082,-17.639972686767578,0
1BUH,8,9.488544464111328,12.290367126464844,26.21925163269043,0.0,0.03659341350518177,-16.89255714416504,0
1BUH,9,10.053650856018066,13.174585342407227,28.328039169311523,0.0,0.031798107967344086,-19.10578155517578,0
1BUH,10,10.129416465759277,12.946768760681152,26.26097297668457,0.0,0.036025212934606705,-18.980682373046875,0
1BUH,11,10.697712898254395,15.347419738769531,27.884798049926758,0.0,0.03149360245490564,-18.782207489013672,0
1BUH,12,10.394680976867676,13.810225486755371,28.855106353759766,0.0,0.03050189229881296,-17.480003356933594,0
1BUH,13,9.766960144042969,13.29366397857666,26.938785552978516,0.0,0.034372187414428615,-17.81779670715332,0
1BUH,14,10.329684257507324,12.024162292480469,28.377086639404297,0.0,0.03255304248989901,-18.650135040283203,0
2J0T,0,10.987476348876953,9.116473197937012,31.01968765258789,0.0,0.032067127858406035,-15.072892189025879,7
2J0T,1,8.321606636047363,8.45338249206543,32.542877197265625,0.0,0.03146345818398242,-16.559467315673828,2
2J0T,2,6.287234306335449,6.460249423980713,22.30912971496582,0.035714,0.0712113739894497,-17.1884822845459,5
2J0T,3,8.91850471496582,7.7896857261657715,33.669822692871094,0.0,0.0318892921230205,-15.531936645507812,4
2J0T,4,13.781013488769531,11.022582054138184,33.34373474121094,0.035714,0.0383051186113361,-16.800254821777344,2
2J0T,5,6.2098774909973145,6.667384147644043,20.689966201782227,0.0,0.0641939851912092,-18.03847312927246,3
2J0T,6,6.167209625244141,6.57481575012207,22.61102294921875,0.0,0.0577647475711891,-16.265995025634766,6
2J0T,7,13.312555313110352,9.789758682250977,27.93899917602539,0.071429,0.059694813630158806,-18.4449405670166,4
2J0T,8,8.131065368652344,6.576338291168213,24.89744758605957,0.035714,0.06318464849254085,-16.277263641357422,7
2J0T,9,12.4314603805542,10.912102699279785,45.86449432373047,0.0,0.017250511273142224,-16.19092559814453,6
2J0T,10,8.896065711975098,7.197046756744385,26.919065475463867,0.035714,0.05600315560961903,-16.409914016723633,4
