id,index,c_rmsd,i_rmsd,l_rmsd,fnat,DockQ,baseline_energy,baseline_num_clashes
2HRK,0,14.498419761657715,12.035514831542969,24.878713607788086,0.0,0.03994121282148986,-46.8019905090332,0
2HRK,1,12.339411735534668,9.91922378540039,22.171438217163086,0.0,0.05016660662469843,-63.90655517578125,0
2HRK,2,14.297466278076172,12.129901885986328,24.423635482788086,0.0,0.041032309310160435,-41.269317626953125,1
2HRK,3,13.062901496887207,10.891335487365723,23.571157455444336,0.0,0.044563404331009,-58.675865173339844,0
2HRK,4,14.599835395812988,12.246772766113281,24.960098266601562,0.0,0.03956613782327909,-43.12215042114258,0
2HRK,5,12.74988842010498,10.526809692382812,23.24508285522461,0.0,0.04594777156603613,-64.15581512451172,0
2HRK,6,13.514960289001465,11.22713565826416,23.601343154907227,0.0,0.044117392403359164,-42.04832077026367,0
2HRK,7,10.739809036254883,7.797091484069824,27.541248321533203,0.142857,0.0885044914898408,-38.46721649169922,7
2HRK,8,12.830004692077637,10.399457931518555,22.62415313720703,0.0,0.04802491826351432,-49.0181770324707,0
2HRK,9,14.296414375305176,11.815327644348145,24.865724563598633,0.0,0.04016256917832609,-39.70818328857422,1
2HRK,10,12.780123710632324,10.187774658203125,23.249467849731445,0.0,0.04637401650389061,-55.84576416015625,0
2HRK,11,12.511466026306152,9.99344253540039,22.283233642578125,0.0,0.049685538658860474,-56.87263870239258,0
2HRK,12,12.968796730041504,10.711825370788574,23.590858459472656,0.0,0.04471239869209465,-59.77579116821289,0
2HRK,13,6.266133785247803,4.9446120262146,13.637066841125488,0.0,0.1213576126625282,-51.7206916809082,0
2HRK,14,5.905947208404541,4.92642879486084,13.054486274719238,0.0,0.12752416317506943,-60.49309539794922,0
1LFD,0,7.2713093757629395,7.901905059814453,20.700115203857422,0.0,0.05968876352054223,-36.87547302246094,4
1LFD,1,8.250497817993164,8.050966262817383,18.088172912597656,0.0,0.07147662147991259,-36.46562957763672,3
1LFD,2,3.8713817596435547,3.9425482749938965,9.611272811889648,0.0,0.18844046785212976,-42.14089584350586,1
1LFD,3,7.500948429107666,7.122060775756836,16.52031898498535,0.0,0.08393014848166974,-43.7336540222168,1
1LFD,4,8.410196304321289,9.515203475952148,23.988935470581055,0.0,0.04526460617938884,-39.28212356567383,1
1LFD,5,11.603779792785645,11.409265518188477,24.36556053161621,0.0,0.041828672666928385,-57.88860321044922,0
1LFD,6,11.859220504760742,11.950302124023438,25.987451553344727,0.0,0.037384582627669354,-51.36365509033203,0
1LFD,7,3.199967861175537,3.297206163406372,7.085963726043701,0.0,0.25381924057468647,-42.08411407470703,1
1LFD,8,3.9745688438415527,4.834696292877197,11.605907440185547,0.0,0.1456434582657267,-41.18935775756836,0
1LFD,9,7.711813926696777,7.390355110168457,14.489947319030762,0.0,0.09852736028438559,-38.94169235229492,2
1LFD,10,5.390801906585693,5.709193706512451,15.7760009765625,0.0,0.09651903087792228,-39.07382583618164,1
1LFD,11,5.612032413482666,5.322458267211914,14.654143333435059,0.066667,0.13066515264887055,-40.40604019165039,1
1LFD,12,13.27474594116211,14.136434555053711,36.94737243652344,0.0,0.02046651461539555,-39.105010986328125,8
1LFD,13,5.6960930824279785,6.654860496520996,15.890596389770508,0.0,0.09027323619664325,-49.30663299560547,0
1LFD,14,8.489968299865723,7.937060356140137,23.115650177001953,0.0,0.05119805344219212,-55.40293884277344,0
2YVJ,0,10.077573776245117,7.732046604156494,25.420854568481445,0.0,0.04561034981829501,-35.1515998840332,2
2YVJ,1,9.47662353515625,6.209251880645752,26.470073699951172,0.0,0.04953929138310239,-37.89029312133789,0
2YVJ,2,5.469457626342773,4.8835554122924805,13.223729133605957,0.0,0.1261938133429317,-33.646934509277344,2
2YVJ,3,22.708906173706055,12.262514114379883,55.708648681640625,0.0,0.012497811381177443,-23.442581176757812,17
2YVJ,4,10.814468383789062,12.387971878051758,26.176063537597656,0.0,0.03661244219879978,-15.834172248840332,48
2YVJ,5,2.8888025283813477,2.1507415771484375,8.703383445739746,0.0,0.2718064249584354,-44.901607513427734,0
2YVJ,6,16.948165893554688,9.197897911071777,43.07832336425781,0.0,0.02112685440061111,-19.449235916137695,41
2YVJ,7,21.531648635864258,15.569158554077148,56.5919189453125,0.0,0.010419544928957726,-30.223291397094727,3
2YVJ,8,22.472200393676758,12.92924976348877,56.5615119934082,0.0,0.011788644692195838,-25.232521057128906,7
2YVJ,9,4.042150020599365,2.718944787979126,12.298237800598145,0.0,0.18553638191947516,-33.916927337646484,2
2YVJ,10,7.6875691413879395,5.838532447814941,20.14002799987793,0.0,0.07103646110631646,-47.1780891418457,0
2YVJ,11,6.299370765686035,5.084021091461182,17.18817138671875,0.0,0.09219320571474017,-25.094860076904297,23
2YVJ,12,6.522450923919678,3.5553207397460938,18.852882385253906,0.0,0.1066797597022739,-43.685325622558594,0
2YVJ,13,8.358718872070312,5.476582050323486,23.572284698486328,0.0,0.06161610346678817,-32.15776824951172,1
2YVJ,14,6.591114521026611,3.9152400493621826,19.426223754882812,0.0,0.0962270658692602,-44.09645080566406,0
1BUH,0,9.829479217529297,13.169228553771973,28.076576232910156,0.0,0.032255328936390375,-45.75620651245117,0
1BUH,1,10.820767402648926,14.116889953613281,29.40790557861328,0.0,0.029421951006539843,-46.30533218383789,0
1BUH,2,11.1859769821167,14.166110038757324,30.89826202392578,0.0,0.027147140838850763,-48.780696868896484,0
1BUH,3,11.434696197509766,14.06135368347168,30.89747428894043,0.0,0.027202903947553498,-53.747371673583984,0
1BUH,4,10.632801055908203,15.241275787353516,28.730615615844727,0.0,0.030025531167644712,-45.44392013549805,0
1BUH,5,10.770552635192871,12.166609764099121,29.260683059692383,0.0,0.030930440527025416,-50.287811279296875,0
1BUH,6,10.206564903259277,15.184682846069336,26.91040802001953,0.0,0.033460795289888164,-49.26301193237305,0
1BUH,7,9.901127815246582,14.279962539672852,26.420333862304688,0.0,0.034903344657993114,-43.32416915893555,0
