id,File_Name,energy,DockQ,num_clashes
T026.1,T026.1_T26_U20.M01,-50.24191665649414,0.1011999994516372,2.0
T026.1,T026.1_T26_U20.M02,-55.00535202026367,0.2452999949455261,0.0
T026.1,T026.1_T26_U20.M03,-52.32686233520508,0.2474000006914138,0.0
T026.1,T026.1_T26_U20.M04,-53.28680419921875,0.1040999963879585,0.0
T026.1,T026.1_T26_U20.M05,-52.21072006225586,0.1770000010728836,0.0
T026.1,T026.1_T26_U20.M06,-50.08123397827149,0.1070000007748603,1.0
T026.1,T026.1_T26_U20.M07,-53.11116409301758,0.1040000021457672,0.0
T026.1,T026.1_T26_U20.M08,-53.44809722900391,0.161200001835823,0.0
T026.1,T026.1_T26_U20.M09,-50.58419036865234,0.0285000000149011,0.0
T026.1,T026.1_T26_U20.M10,-57.08773422241211,0.1597999930381775,0.0
T026.1,T026.1_T26_U20.M100,-43.08334732055664,0.0212999992072582,26.0
T026.1,T026.1_T26_U20.M11,-40.189640045166016,0.0221999995410442,21.0
T026.1,T026.1_T26_U20.M12,-57.19402313232422,0.1753000020980835,0.0
T026.1,T026.1_T26_U20.M13,-56.45762634277344,0.4056000113487243,1.0
T026.1,T026.1_T26_U20.M14,-49.80926132202149,0.0533000007271766,0.0
T026.1,T026.1_T26_U20.M15,-59.88872909545898,0.4325000047683716,0.0
T026.1,T026.1_T26_U20.M16,-58.21272659301758,0.1512999981641769,0.0
T026.1,T026.1_T26_U20.M17,-42.415470123291016,0.0217000003904104,25.0
T026.1,T026.1_T26_U20.M18,-51.54668045043945,0.1781000047922134,0.0
T026.1,T026.1_T26_U20.M19,-47.18686294555664,0.0285999998450279,0.0
T026.1,T026.1_T26_U20.M20,-62.29674530029297,0.1517000049352646,0.0
T026.1,T026.1_T26_U20.M21,-59.02283477783203,0.4180000126361847,0.0
T026.1,T026.1_T26_U20.M22,-53.88631820678711,0.0819000005722045,0.0
T026.1,T026.1_T26_U20.M23,-57.74364471435547,0.4715999960899353,0.0
T026.1,T026.1_T26_U20.M24,-48.76853561401367,0.0278999991714954,0.0
T026.1,T026.1_T26_U20.M25,-53.07568359375,0.1106000021100044,0.0
T026.1,T026.1_T26_U20.M26,-52.98334884643555,0.2676999866962433,0.0
T026.1,T026.1_T26_U20.M27,-53.594459533691406,0.4289000034332275,0.0
T026.1,T026.1_T26_U20.M28,-59.7075080871582,0.436599999666214,0.0
T026.1,T026.1_T26_U20.M29,-55.78213882446289,0.2097000032663345,0.0
T026.1,T026.1_T26_U20.M30,-49.14356994628906,0.0874999985098838,0.0
T026.1,T026.1_T26_U20.M31,-55.353145599365234,0.1967000067234039,0.0
T026.1,T026.1_T26_U20.M32,-61.70933151245117,0.4530999958515167,0.0
T026.1,T026.1_T26_U20.M33,-51.28369522094727,0.0777999982237815,0.0
T026.1,T026.1_T26_U20.M34,-56.24684143066406,0.0979000031948089,0.0
T026.1,T026.1_T26_U20.M35,-52.17115783691406,0.0934000015258789,0.0
T026.1,T026.1_T26_U20.M36,-60.269187927246094,0.1394000053405761,0.0
T026.1,T026.1_T26_U20.M37,-51.49337005615234,0.0824000015854835,1.0
T026.1,T026.1_T26_U20.M38,-58.637813568115234,0.3815000057220459,0.0
T026.1,T026.1_T26_U20.M39,-57.79014205932617,0.2060000002384185,0.0
T026.1,T026.1_T26_U20.M40,-56.67627334594727,0.4036000072956085,1.0
T026.1,T026.1_T26_U20.M41,-50.1077995300293,0.0952000021934509,2.0
T026.1,T026.1_T26_U20.M42,-57.60804748535156,0.4523999989032745,0.0
T026.1,T026.1_T26_U20.M43,-53.48626708984375,0.4332999885082245,2.0
T026.1,T026.1_T26_U20.M44,-52.610233306884766,0.1896000057458877,0.0
T026.1,T026.1_T26_U20.M45,-51.062801361083984,0.0287999995052814,0.0
T026.1,T026.1_T26_U20.M46,-52.80038833618164,0.1180000007152557,1.0
T026.1,T026.1_T26_U20.M47,-52.19411087036133,0.1125999987125396,1.0
T026.1,T026.1_T26_U20.M48,-62.197696685791016,0.426800012588501,0.0
T026.1,T026.1_T26_U20.M49,-52.92007827758789,0.1169999986886978,0.0
T026.1,T026.1_T26_U20.M50,-51.21332550048828,0.0672999992966651,0.0
T026.1,T026.1_T26_U20.M51,-43.669654846191406,0.0672999992966651,1.0
T026.1,T026.1_T26_U20.M52,-49.356239318847656,0.0280000008642673,0.0
T026.1,T026.1_T26_U20.M53,-53.256614685058594,0.4668000042438507,1.0
T026.1,T026.1_T26_U20.M54,-50.4288444519043,0.200200006365776,0.0
T026.1,T026.1_T26_U20.M55,-51.872344970703125,0.0925000011920929,0.0
T026.1,T026.1_T26_U20.M56,-40.2115364074707,0.0222999993711709,27.0
T026.1,T026.1_T26_U20.M57,-59.4937744140625,0.4848000109195709,0.0
T026.1,T026.1_T26_U20.M58,-58.64596939086914,0.4138999879360199,0.0
T026.1,T026.1_T26_U20.M59,-49.8816032409668,0.0826999992132186,0.0
T026.1,T026.1_T26_U20.M60,-50.02717208862305,0.0284000001847744,0.0
T026.1,T026.1_T26_U20.M61,-59.93218612670898,0.147599995136261,0.0
T026.1,T026.1_T26_U20.M62,-48.85552597045898,0.05180000141263,0.0
T026.1,T026.1_T26_U20.M63,-54.52620697021485,0.1826999932527542,0.0
T026.1,T026.1_T26_U20.M64,-58.39022445678711,0.2189999967813491,0.0
T026.1,T026.1_T26_U20.M65,-49.262962341308594,0.2678000032901764,1.0
T026.1,T026.1_T26_U20.M66,-45.69963073730469,0.0683000013232231,0.0
T026.1,T026.1_T26_U20.M67,-55.438018798828125,0.4013000130653381,0.0
T026.1,T026.1_T26_U20.M68,-57.20465850830078,0.4544000029563904,0.0
T026.1,T026.1_T26_U20.M69,-48.78342056274414,0.0970999971032142,0.0
T026.1,T026.1_T26_U20.M70,-54.96065521240234,0.3553999960422516,1.0
T026.1,T026.1_T26_U20.M71,-55.038970947265625,0.3977000117301941,0.0
T026.1,T026.1_T26_U20.M72,-54.74694442749024,0.4219000041484833,1.0
T026.1,T026.1_T26_U20.M73,-55.28774642944336,0.2357999980449676,0.0
T026.1,T026.1_T26_U20.M74,-38.36407470703125,0.0226000007241964,16.0
T026.1,T026.1_T26_U20.M75,-56.74785232543945,0.0894000008702278,0.0
T026.1,T026.1_T26_U20.M76,-49.22671508789063,0.0513000003993511,0.0
T026.1,T026.1_T26_U20.M77,-58.53710174560547,0.4291000068187713,0.0
T026.1,T026.1_T26_U20.M78,-39.64175796508789,0.0225000008940696,20.0
T026.1,T026.1_T26_U20.M79,-46.71225357055664,0.0930999964475631,0.0
T026.1,T026.1_T26_U20.M80,-56.001861572265625,0.1561000049114227,0.0
T026.1,T026.1_T26_U20.M81,-57.40772247314453,0.3495000004768371,1.0
T026.1,T026.1_T26_U20.M82,-40.79093933105469,0.024100000038743,9.0
T026.1,T026.1_T26_U20.M83,-51.11168670654297,0.1758999973535537,3.0
T026.1,T026.1_T26_U20.M84,-51.38282775878906,0.0908000022172927,0.0
T026.1,T026.1_T26_U20.M85,-43.590274810791016,0.0304000005125999,9.0
T026.1,T026.1_T26_U20.M86,-54.34890365600586,0.0764999985694885,0.0
T026.1,T026.1_T26_U20.M87,-42.17054748535156,0.0645999982953071,2.0
T026.1,T026.1_T26_U20.M88,-43.42318344116211,0.0295000001788139,8.0
T026.1,T026.1_T26_U20.M89,-52.79216003417969,0.0841000005602836,0.0
T026.1,T026.1_T26_U20.M90,-50.72307205200195,0.0822999998927116,0.0
T026.1,T026.1_T26_U20.M91,-57.211181640625,0.1098000034689903,0.0
T026.1,T026.1_T26_U20.M92,-58.70716857910156,0.1727000027894973,0.0
T026.1,T026.1_T26_U20.M93,-40.35405349731445,0.0217000003904104,25.0
T026.1,T026.1_T26_U20.M94,-54.13382339477539,0.2328999936580658,0.0
T026.1,T026.1_T26_U20.M95,-50.17631530761719,0.0856999978423118,0.0
T026.1,T026.1_T26_U20.M96,-50.39662170410156,0.2833000123500824,1.0
T026.1,T026.1_T26_U20.M97,-57.18784332275391,0.2134999930858612,0.0
T026.1,T026.1_T26_U20.M98,-46.45146179199219,0.0544000007212162,0.0
T026.1,T026.1_T26_U20.M99,-56.327415466308594,0.2249000072479248,0.0
T026.1,T026.1_T26_U39.M01,-51.56944274902344,0.1736000031232834,0.0
T026.1,T026.1_T26_U39.M02,-54.39454650878906,0.2560000121593475,0.0
T026.1,T026.1_T26_U39.M03,-57.88071823120117,0.4106999933719635,0.0
T026.1,T026.1_T26_U39.M04,-55.36149215698242,0.7098000049591064,0.0
T026.1,T026.1_T26_U39.M05,-62.883819580078125,0.4110000133514404,0.0
T026.1,T026.1_T26_U39.M06,-49.12058639526367,0.2194000035524368,0.0
T026.1,T026.1_T26_U39.M07,-58.75822067260742,0.3039000034332275,0.0
T026.1,T026.1_T26_U39.M08,-59.28471374511719,0.5605000257492065,0.0
T026.1,T026.1_T26_U39.M09,-52.37302780151367,0.1735000014305114,0.0
T026.1,T026.1_T26_U39.M10,-58.79881286621094,0.2876999974250793,0.0
T026.1,T026.1_T26_U39.M11,-56.0665397644043,0.2185000032186508,0.0
T026.1,T026.1_T26_U39.M12,-55.61232376098633,0.1896000057458877,0.0
T026.1,T026.1_T26_U39.M13,-49.89241027832031,0.1931000053882599,0.0
T026.1,T026.1_T26_U39.M14,-58.198341369628906,0.197500005364418,0.0
T026.1,T026.1_T26_U39.M15,-62.23731231689453,0.5694000124931335,0.0
T026.1,T026.1_T26_U39.M16,-55.49648666381836,0.2658999860286712,0.0
T026.1,T026.1_T26_U39.M17,-60.82654571533203,0.1870000064373016,0.0
T026.1,T026.1_T26_U39.M18,-56.07511901855469,0.316100001335144,0.0
T026.1,T026.1_T26_U39.M19,-59.84553527832031,0.7915999889373779,0.0
T026.1,T026.1_T26_U39.M20,-57.779781341552734,0.4672999978065491,0.0
T026.1,T026.1_T26_U39.M21,-60.18153381347656,0.2597000002861023,0.0
T026.1,T026.1_T26_U39.M22,-56.3232307434082,0.598800003528595,0.0
T026.1,T026.1_T26_U39.M23,-54.3619384765625,0.3641000092029571,0.0
T026.1,T026.1_T26_U39.M24,-59.883697509765625,0.2860000133514404,0.0
T026.1,T026.1_T26_U39.M25,-55.50066375732422,0.2964000105857849,0.0
T026.1,T026.1_T26_U39.M26,-54.97798156738281,0.1891999989748001,0.0
T026.1,T026.1_T26_U39.M27,-52.73984146118164,0.2976999878883362,1.0
T026.1,T026.1_T26_U39.M28,-58.99578094482422,0.4715999960899353,0.0
T026.1,T026.1_T26_U39.M29,-48.40439987182617,0.2252999991178512,0.0
T026.1,T026.1_T26_U39.M30,-58.18080520629883,0.2285999953746795,0.0
T026.1,T026.1_T26_U39.M31,-56.44625473022461,0.1988999992609024,0.0
T026.1,T026.1_T26_U39.M32,-58.06464385986328,0.181999996304512,0.0
T026.1,T026.1_T26_U39.M33,-52.97397994995117,0.3158000111579895,0.0
T026.1,T026.1_T26_U39.M34,-53.79845428466797,0.2818999886512756,0.0
T026.1,T026.1_T26_U39.M35,-58.176979064941406,0.2018000036478042,0.0
T026.1,T026.1_T26_U39.M36,-60.640960693359375,0.402999997138977,0.0
