id,File_Name,energy,DockQ
T026.1,T026.1_T26_U20.M80,0.7673422694206238,0.1561000049114227
T026.1,T026.1_T26_U20.M18,0.6300289630889893,0.1781000047922134
T026.1,T026.1_T26_U20.M32,0.7069071531295776,0.4530999958515167
T026.1,T026.1_T26_U20.M95,0.5070464611053467,0.0856999978423118
T026.1,T026.1_T26_U39.M55,0.8294115662574768,0.1659999936819076
T026.1,T026.1_T26_U20.M75,0.5514822006225586,0.0894000008702278
T026.1,T026.1_T26_U39.M57,0.662579357624054,0.1693000048398971
T026.1,T026.1_T26_U20.M89,0.4339118003845215,0.0841000005602836
T026.1,T026.1_T26_U20.M100,0.9971773624420166,0.0212999992072582
T026.1,T026.1_T26_U20.M72,0.54859459400177,0.4219000041484833
T026.1,T026.1_T26_U39.M15,0.9552496671676636,0.5694000124931335
T026.1,T026.1_T26_U39.M63,0.8481208086013794,0.1726000010967254
T026.1,T026.1_T26_U20.M98,0.375696063041687,0.0544000007212162
T026.1,T026.1_T26_U20.M58,0.7808239459991455,0.4138999879360199
T026.1,T026.1_T26_U39.M67,0.8969048261642456,0.1796000003814697
T026.1,T026.1_T26_U20.M52,0.5330584645271301,0.0280000008642673
T026.1,T026.1_T26_U20.M39,0.7334266901016235,0.2060000002384185
T026.1,T026.1_T26_U39.M32,0.8986924290657043,0.181999996304512
T026.1,T026.1_T26_U20.M59,0.2901058197021484,0.0826999992132186
T026.1,T026.1_T26_U20.M44,0.7133207321166992,0.1896000057458877
T026.1,T026.1_T26_U20.M47,0.5598614811897278,0.1125999987125396
T026.1,T026.1_T26_U20.M83,0.8734503984451294,0.1758999973535537
T026.1,T026.1_T26_U20.M46,0.5793648958206177,0.1180000007152557
T026.1,T026.1_T26_U39.M17,0.9381754994392396,0.1870000064373016
T026.1,T026.1_T26_U39.M45,0.8141741156578064,0.4460999965667724
T026.1,T026.1_T26_U39.M09,0.9392792582511902,0.1735000014305114
T026.1,T026.1_T26_U39.M13,0.929554045200348,0.1931000053882599
T026.1,T026.1_T26_U39.M40,0.7712194323539734,0.6241999864578247
T026.1,T026.1_T26_U20.M85,0.9926937818527222,0.0304000005125999
T026.1,T026.1_T26_U39.M51,0.7582123875617981,0.1805000007152557
T026.1,T026.1_T26_U20.M27,0.5656088590621948,0.4289000034332275
T026.1,T026.1_T26_U39.M34,0.8417790532112122,0.2818999886512756
T026.1,T026.1_T26_U39.M23,0.6653215885162354,0.3641000092029571
T026.1,T026.1_T26_U20.M34,0.4383067190647125,0.0979000031948089
T026.1,T026.1_T26_U39.M07,0.6997339129447937,0.3039000034332275
T026.1,T026.1_T26_U20.M03,0.5432437658309937,0.2474000006914138
T026.1,T026.1_T26_U20.M30,0.410090297460556,0.0874999985098838
T026.1,T026.1_T26_U20.M88,0.972184956073761,0.0295000001788139
T026.1,T026.1_T26_U39.M48,0.7937859892845154,0.2334000021219253
T026.1,T026.1_T26_U20.M74,0.9960118532180786,0.0226000007241964
T026.1,T026.1_T26_U39.M59,0.721997857093811,0.1523000001907348
T026.1,T026.1_T26_U20.M17,0.9962939620018004,0.0217000003904104
T026.1,T026.1_T26_U39.M28,0.9269556999206544,0.4715999960899353
T026.1,T026.1_T26_U20.M42,0.7946996688842773,0.4523999989032745
T026.1,T026.1_T26_U39.M10,0.9174396991729736,0.2876999974250793
T026.1,T026.1_T26_U20.M05,0.9108928442001344,0.1770000010728836
T026.1,T026.1_T26_U20.M56,0.9957228899002076,0.0222999993711709
T026.1,T026.1_T26_U20.M09,0.6238265633583069,0.0285000000149011
T026.1,T026.1_T26_U39.M60,0.6542964577674866,0.2976000010967254
T026.1,T026.1_T26_U39.M42,0.8176037669181824,0.2599999904632568
T026.1,T026.1_T26_U20.M07,0.4560892283916473,0.1040000021457672
T026.1,T026.1_T26_U20.M91,0.4787538647651672,0.1098000034689903
T026.1,T026.1_T26_U20.M28,0.7372415065765381,0.436599999666214
T026.1,T026.1_T26_U39.M01,0.70708829164505,0.1736000031232834
T026.1,T026.1_T26_U20.M57,0.8416274189949036,0.4848000109195709
T026.1,T026.1_T26_U39.M54,0.9380193948745728,0.1861999928951263
T026.1,T026.1_T26_U20.M45,0.5713579058647156,0.0287999995052814
T026.1,T026.1_T26_U39.M53,0.8140321969985962,0.3151000142097473
T026.1,T026.1_T26_U20.M10,0.8457906246185303,0.1597999930381775
T026.1,T026.1_T26_U20.M21,0.7906901836395264,0.4180000126361847
T026.1,T026.1_T26_U20.M08,0.8467556238174438,0.161200001835823
T026.1,T026.1_T26_U39.M11,0.9813806414604188,0.2185000032186508
T026.1,T026.1_T26_U39.M66,0.7749772071838379,0.2064999938011169
T026.1,T026.1_T26_U39.M43,0.7515300512313843,0.3402000069618225
T026.1,T026.1_T26_U20.M87,0.4492553770542145,0.0645999982953071
T026.1,T026.1_T26_U20.M36,0.7696062922477722,0.1394000053405761
T026.1,T026.1_T26_U39.M02,0.980093240737915,0.2560000121593475
T026.1,T026.1_T26_U39.M18,0.962461531162262,0.316100001335144
T026.1,T026.1_T26_U39.M49,0.8396518230438232,0.2251999974250793
T026.1,T026.1_T26_U39.M19,0.8358662128448486,0.7915999889373779
T026.1,T026.1_T26_U39.M58,0.2433371692895889,0.1372999995946884
T026.1,T026.1_T26_U20.M40,0.9370997548103333,0.4036000072956085
T026.1,T026.1_T26_U39.M16,0.9555339813232422,0.2658999860286712
T026.1,T026.1_T26_U39.M65,0.7528888583183289,0.1768999993801117
T026.1,T026.1_T26_U39.M22,0.9299270510673524,0.598800003528595
T026.1,T026.1_T26_U20.M90,0.4642047584056854,0.0822999998927116
T026.1,T026.1_T26_U20.M13,0.8929773569107056,0.4056000113487243
T026.1,T026.1_T26_U39.M33,0.9192787408828736,0.3158000111579895
T026.1,T026.1_T26_U20.M12,0.8938049674034119,0.1753000020980835
T026.1,T026.1_T26_U20.M64,0.4446591138839721,0.2189999967813491
T026.1,T026.1_T26_U20.M24,0.5590866804122925,0.0278999991714954
T026.1,T026.1_T26_U20.M77,0.8216677904129028,0.4291000068187713
T026.1,T026.1_T26_U20.M78,0.9973180890083312,0.0225000008940696
T026.1,T026.1_T26_U39.M62,0.8723192811012268,0.2522999942302704
T026.1,T026.1_T26_U39.M37,0.5805127620697021,0.2813000082969665
T026.1,T026.1_T26_U20.M55,0.4351970255374908,0.0925000011920929
T026.1,T026.1_T26_U20.M01,0.4953186213970184,0.1011999994516372
T026.1,T026.1_T26_U39.M08,0.8233829140663147,0.5605000257492065
T026.1,T026.1_T26_U20.M99,0.8012483716011047,0.2249000072479248
T026.1,T026.1_T26_U20.M84,0.5583402514457703,0.0908000022172927
T026.1,T026.1_T26_U20.M82,0.9952966570854188,0.024100000038743
